,p,sep1,sed1
0,0.0005,0.36,0.36
1,0.00056,0.5178571428571429,0.5178571428571429
2,0.0006200062000620006,0.6612903225806451,0.6612903225806451
3,0.0006500325016250812,0.6923076923076923,0.6923076923076923
4,0.0007100497034792435,0.7183098591549296,0.7183098591549296
5,0.0007600836091970117,0.6447368421052632,0.6447368421052632
6,0.0008001280204832773,0.5125,0.5125
7,0.000880158428517133,0.5454545454545454,0.5454545454545454
8,0.0009701940388077615,0.5154639175257731,0.5154639175257731
9,0.0010602438560869,0.4716981132075472,0.4716981132075472
10,0.0011802832679843162,0.4491525423728814,0.4491525423728814
11,0.001290348394066398,0.4496124031007752,0.4496124031007752
12,0.0013604761666583304,0.41911764705882354,0.41911764705882354
13,0.0014705588123486925,0.41496598639455784,0.41496598639455784
14,0.001590620341933354,0.4528301886792453,0.4528301886792453
15,0.0017407311070649673,0.46551724137931033,0.46551724137931033
16,0.0018808275641282164,0.43617021276595747,0.43617021276595747
17,0.001980931037587666,0.4696969696969697,0.4696969696969697
18,0.0021810469025132064,0.44954128440366975,0.44954128440366975
19,0.002361204214149216,0.4491525423728814,0.4491525423728814
20,0.002581393952734477,0.45348837209302323,0.45348837209302323
21,0.002711654109006494,0.47601476014760147,0.47601476014760147
22,0.0029319057387301745,0.4778156996587031,0.4778156996587031
23,0.003162181905514805,0.45569620253164556,0.45569620253164556
24,0.003372495646778616,0.4807121661721068,0.4807121661721068
25,0.003632906325060048,0.4793388429752066,0.4793388429752066
26,0.003953162530024019,0.4962025316455696,0.4962025316455696
27,0.0043136234436927014,0.4965197215777262,0.4965197215777262
28,0.004634402682548421,0.490280777537797,0.490280777537797
29,0.004975124378109453,0.4768611670020121,0.4768611670020121
30,0.005335816039483037,0.48592870544090055,0.48592870544090055
31,0.005806677679331231,0.5,0.5
32,0.006218332565637955,0.47020933977455714,0.47020933977455714
33,0.006779627070440025,0.4726735598227474,0.4726735598227474
34,0.007321421417411161,0.4719562243502052,0.4719562243502052
35,0.007932930677003515,0.45707070707070707,0.45707070707070707
36,0.008575092162205481,0.4369158878504673,0.4369158878504673
37,0.009297292964914742,0.44935344827586204,0.44935344827586204
38,0.00989057239057239,0.4518743667679838,0.4518743667679838
39,0.010583707504810776,0.4384469696969697,0.4384469696969697
40,0.010168130489335006,0.39190523198420535,0.39190523198420535
41,0.009360546953549166,0.3394199785177229,0.3394199785177229
42,0.008510166879840473,0.30414201183431955,0.30414201183431955
43,0.008186144043874506,0.3288177339901478,0.3288177339901478
44,0.007780412735254049,0.3320363164721141,0.3320363164721141
45,0.007323380270308491,0.3406896551724138,0.3406896551724138
46,0.0070556364224486495,0.3524355300859599,0.3524355300859599
47,0.006303690137709828,0.35313001605136435,0.35313001605136435
48,0.005983840592916591,0.37055837563451777,0.37055837563451777
49,0.005491388044579534,0.33579335793357934,0.33579335793357934
50,0.004997668430549642,0.3509127789046653,0.3509127789046653
51,0.004695121332887145,0.3369330453563715,0.3369330453563715
52,0.0043003336815521775,0.38207547169811323,0.38207547169811323
53,0.003915323521356771,0.4170984455958549,0.4170984455958549
54,0.003621056902322751,0.3949579831932773,0.3949579831932773
55,0.0033060533227864146,0.38650306748466257,0.38650306748466257
56,0.0030311631962044567,0.38127090301003347,0.38127090301003347
57,0.002888181762905612,0.41754385964912283,0.41754385964912283
58,0.0026842510433126698,0.4037735849056604,0.4037735849056604
59,0.0025008352992396247,0.4089068825910931,0.4089068825910931
60,0.0023276996255439733,0.34782608695652173,0.34782608695652173
61,0.0021649182085807647,0.3411214953271028,0.3411214953271028
62,0.0021129893238434165,0.35406698564593303,0.35406698564593303
63,0.002071104555419727,0.33658536585365856,0.33658536585365856
64,0.001938336664849476,0.359375,0.359375
65,0.0017758225791804983,0.3068181818181818,0.3068181818181818
66,0.0016738595571330617,0.3614457831325301,0.3614457831325301
67,0.001562106324011086,0.3161290322580645,0.3161290322580645
68,0.0015208742508938914,0.37748344370860926,0.37748344370860926
69,0.0013893643154863783,0.3695652173913043,0.3695652173913043
70,0.0013183849281429895,0.3282442748091603,0.3282442748091603
71,0.001277550322405416,0.33070866141732286,0.33070866141732286
72,0.0012569382994127585,0.336,0.336
73,0.0012159948546333424,0.32231404958677684,0.32231404958677684
74,0.0011955593509820667,0.36134453781512604,0.36134453781512604
75,0.0011047504268353922,0.3090909090909091,0.3090909090909091
76,0.0011043954940663841,0.3090909090909091,0.3090909090909091
77,0.0010337525216536027,0.3300970873786408,0.3300970873786408
78,0.0009731920699895658,0.30927835051546393,0.30927835051546393
79,0.0008928661001815828,0.3595505617977528,0.3595505617977528
80,0.0008726441116583247,0.3333333333333333,0.3333333333333333
81,0.0007621951219512195,0.34210526315789475,0.34210526315789475
82,0.0007319983555105438,0.3835616438356164,0.3835616438356164
83,0.0006416876384892267,0.296875,0.296875
84,0.0006315472908626134,0.3333333333333333,0.3333333333333333
85,0.0005713197486193106,0.2807017543859649,0.2807017543859649
86,0.0005211569684700035,0.28846153846153844,0.28846153846153844
87,0.0004910311654474397,0.3673469387755102,0.3673469387755102
88,0.00045091083989659114,0.3111111111111111,0.3111111111111111
89,0.0004007734928411835,0.25,0.25
90,0.00037070062417969964,0.24324324324324326,0.24324324324324326
91,0.00038065472612894177,0.3684210526315789,0.3684210526315789
92,0.0003605841463170336,0.3888888888888889,0.3888888888888889
93,0.00031049368495908496,0.4838709677419355,0.4838709677419355
94,0.0002603905858788182,0.3076923076923077,0.3076923076923077
95,0.00023032937100053076,0.391304347826087,0.391304347826087
96,0.0002202797552892173,0.5,0.5
