,p,sep1,sep2,sep3,sep4,sep5,sep6,sep7,sep8,sep9,sep10,sep15,sep20,sep25,sep30,sed1,sed2,sed3,sed4,sed5,sed6,sed7,sed8,sed9,sed10,sed15,sed20,sed25,sed30,time
197,0.0621302697925872,0.6261713520749665,0.6090108751941999,0.6015010721944246,0.5916758342500916,0.592361505010399,0.5900621118012422,0.5942261427425822,0.5955500103971719,0.5982448630136986,0.6045234958278437,0.6269861286254729,0.6555683122847302,0.6918528252299606,0.700948212983224,0.6261713520749665,0.6009036144578314,0.5860107095046854,0.5759705488621151,0.5704484605087015,0.5662650602409639,0.5622489959839357,0.5600736278447122,0.5624163319946452,0.5577309236947792,0.5552208835341366,0.5595716198125836,0.5684404283801874,0.570615796519411,197
198,0.06203548745881106,0.6273458445040214,0.6113703127700018,0.6061422413793104,0.5986769570011026,0.5948981534361317,0.6007046388725779,0.5998389694041868,0.6021328958162429,0.6079105760963026,0.6129317980513729,0.6343813387423936,0.6540011514104779,0.6801816412585144,0.7139722019019751,0.6273458445040214,0.6043900804289544,0.5896447721179625,0.5802613941018767,0.5747319034852547,0.5733914209115282,0.5668565683646113,0.563337801608579,0.5631702412868632,0.5653485254691689,0.5621648793565683,0.561662198391421,0.5693699731903485,0.5733914209115282,198
199,0.062103731420850225,0.6302928870292887,0.6131879543094496,0.602135231316726,0.6011029411764706,0.5981078524124882,0.5956699824458748,0.5952428945777061,0.6053783614759225,0.6100427350427351,0.6109402460456942,0.6315921019745063,0.6592097617664149,0.6869931884528057,0.7056451612903226,0.6302928870292887,0.6036820083682009,0.5889539748953975,0.580418410041841,0.573723849372385,0.5697071129707113,0.5680334728033473,0.5670292887029289,0.567531380753138,0.5636820083682008,0.5618410041841004,0.5640167364016736,0.5693723849372385,0.5728870292887029,199
200,0.06160147194877286,0.6333108336145798,0.6160013944570333,0.6077586206896551,0.6043833580980683,0.6060663868752385,0.6048828125,0.6059373729158194,0.6115408739284968,0.6121225101734847,0.6163021868787276,0.6299724793595196,0.6676317313259988,0.6928875778433301,0.7093577981651377,0.6333108336145798,0.6079986500168748,0.5961862976712791,0.5877489031387108,0.5808302396220048,0.5782990212622342,0.5762740465744178,0.5728990887613905,0.57036787040162,0.5668241646979413,0.5642929463381707,0.5718866014174823,0.5723928450894363,0.5799865001687479,200
201,0.06127032985316751,0.6320434487440597,0.6118039697874583,0.6029570861882437,0.6023577844311377,0.5978552278820375,0.596294106051646,0.6026005688744412,0.6021008403361344,0.602064960206496,0.6070315976858033,0.6291592583185166,0.6518561824028062,0.6827111984282908,0.7035010940919038,0.6320434487440597,0.606245756958588,0.5940257976917854,0.5838424983027835,0.5790902919212492,0.572980312287848,0.5692464358452138,0.5634758995247794,0.5667006109979633,0.5624575695858791,0.5610997963340122,0.5627970128988459,0.5699253224711474,0.5733197556008147,201
202,0.060576753086034586,0.6334763948497855,0.6163946061036196,0.6109077598828697,0.6010898158586997,0.6005000961723408,0.6015888778550149,0.6019696347968814,0.6034808135877543,0.6070106684084476,0.6092493297587132,0.6301440329218106,0.6570931244560487,0.6837300293446364,0.703690036900369,0.6334763948497855,0.6106437768240344,0.5965665236051502,0.5864377682403433,0.5773390557939914,0.5747639484978541,0.5701287553648069,0.5651502145922747,0.5661802575107296,0.5632618025751073,0.5642918454935623,0.5660085836909872,0.5703004291845494,0.5730472103004292,202
203,0.06001435600819749,0.6340786964811925,0.6129893238434164,0.6047583917373663,0.6024256206177753,0.6087128712871287,0.6026570048309179,0.6028250934773577,0.6016518424396442,0.6077444760446292,0.5991011235955056,0.6244824016563147,0.6569920844327177,0.681202510736703,0.6848862802641232,0.6340786964811925,0.6072109551048709,0.59334373374935,0.5836366788004853,0.5815565955971572,0.5739296238516207,0.5709828393135725,0.5668226729069162,0.5645692494366441,0.56092910383082,0.5611024440977639,0.5659559715721962,0.5702894782457965,0.5732362627838447,203
204,0.05932943696832297,0.6319018404907976,0.6115717375630858,0.599405425492382,0.6008468052347959,0.5906746031746032,0.5928484355952864,0.5963110459023265,0.5927846187081444,0.5943562610229277,0.6064367816091955,0.6263707571801567,0.630819092516205,0.6636546184738956,0.6883895131086142,0.6319018404907976,0.6061349693251534,0.5886064855390009,0.5796669588080631,0.5702015775635407,0.5666958808063103,0.5644171779141104,0.5624890446976336,0.5610867659947415,0.5617879053461875,0.5575810692375109,0.5574057843996494,0.564592462751972,0.5710780017528484,204
205,0.058580017058101556,0.6324573863636364,0.6117108874656908,0.6012777151446824,0.5984804208065458,0.5982498011137629,0.5990566037735849,0.5972280554388912,0.5976739177256084,0.5998205473306415,0.5986675855731679,0.6260205425335792,0.6414425066509015,0.6702412868632708,0.7049118860142483,0.6324573863636364,0.6061789772727273,0.5912642045454546,0.5797230113636364,0.5743963068181818,0.5708451704545454,0.5667613636363636,0.56640625,0.5633877840909091,0.5600142045454546,0.5603693181818182,0.5648082386363636,0.5678267045454546,0.5745738636363636,205
206,0.058047740392116076,0.6287403691094786,0.6088235294117647,0.6046200840015273,0.5911119736076073,0.5901606425702811,0.5970741901776384,0.5915552726501166,0.5929626411815813,0.6008082622361922,0.6017145505097312,0.6233936532913716,0.6518719806763285,0.6693575512949882,0.6966542750929368,0.6287403691094786,0.6015051066117183,0.5914710625335962,0.5774950725676402,0.5739114853968823,0.5690736427163591,0.56387744131876,0.5628023651675327,0.5626231858089948,0.5593979573553126,0.5545601146747895,0.5613689302992295,0.5620856477333811,0.5701487188675864,206
