,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,2.87390310132933,3.3706610702310975,0.0,0.0,0.0,0.20427740470978592,6.5385275279418344,6.977574218983212,9.499002822232812,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13030626911287582,True,3.9163605759862414,3.017942134384906,0.0,0.0,0.053817222921371526,5.098210675454456,6.562945012858675,7.229955212791216,8.870888734666563,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.15549159459142053,True,4.763613389135224,2.84333966566713,0.0,0.05856330818917808,2.178332230154246,5.916900656736157,6.910262962298861,7.483512791678365,8.728887355693342,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.1811023994132954,True,5.561216959422621,2.4504876263005553,0.0,2.383770022215134,4.529315519134586,6.259124188803785,7.123402415264249,7.917232871360971,9.079136337658085,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20292794918678106,True,5.549787121464266,2.396066776577949,0.0,3.866627633421709,4.941479756141145,6.098165427355956,7.150946850832815,7.548237663129768,9.381260225930294,4,,,78,0
5,99913,77,0,0,10,0,0,0,1,0,0,0,0,0,1,0.225274845955134,True,5.331479611100799,2.5299426527752,0.0,2.000079123080272,4.244533525441898,6.0161282107345055,7.165781776758713,7.541360660587278,9.599778858412778,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24739110134364542,True,5.41781550679129,2.402905033135616,0.0,3.1190838534808796,4.5258598711498585,5.978276941563246,7.086204149069111,7.460679286803246,10.175391750840525,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.26722506107397,True,4.918078092729571,2.6867814005026194,0.0,0.6637866367090153,3.322204747197639,5.433470202256149,6.78661129438539,7.460103069304214,9.706353206117328,7,,,106,0
8,99883,96,0,0,21,0,0,0,1,0,0,0,0,0,1,0.2863651269637219,True,4.302109846339912,2.579712640003858,0.0,0.6115644491043114,2.301627927561642,4.710008127090488,6.406833594722547,6.967815937047471,9.179157691818219,8,,,117,0
9,99871,106,0,0,23,0,0,0,1,0,0,0,0,0,1,0.3038831696756718,True,4.522510963352173,2.3410863350066555,0.0,1.5129077076081119,3.33082453461257,4.665210653050661,6.215349180203683,6.803689258309593,8.973023384654304,9,,,129,0
10,99858,117,0,0,25,0,0,0,1,0,0,0,0,0,1,0.32051733833692014,True,4.645296012932628,2.5263012069139803,0.0,1.5987198251678163,2.9335579357447052,4.929594639878389,6.548570559652086,7.378070836739942,11.111946709962934,10,,,142,0
11,99844,130,0,0,26,0,0,0,1,0,0,0,0,0,1,0.33210265315348475,True,4.424564061591285,2.605209318967666,0.0,1.0661738707243555,2.471986809289435,4.9363413282415305,6.3518141541589,7.362359494437624,10.505673132292495,11,,,156,0
12,99828,142,1,0,29,0,0,0,1,0,0,0,0,0,1,0.3320121265503407,True,4.184383587173355,2.7923754577550577,0.0,0.07515368210041533,1.8173547998648325,4.557268634105629,6.7895781577112935,7.244255506698813,9.899399554622056,12,,,172,0
13,99811,152,4,0,33,0,0,0,1,0,0,0,0,0,1,0.33108960811233046,True,4.061162900299913,2.642321183509286,0.0,0.40569098020028127,1.6690804644381148,4.287198917948767,6.43277658345268,6.970460547121732,9.293125976951616,13,,,189,0
14,99793,161,8,0,38,0,0,0,1,0,0,0,0,0,1,0.33010439348138726,True,4.107704594192646,2.7316172760606308,0.0,0.31668751459748845,1.591236305606348,4.361557934008346,6.415365205220134,7.120339364531999,9.017933401631227,14,,,207,0
15,99774,175,11,0,40,0,0,0,1,0,0,0,0,0,1,0.3311636430792749,True,4.1871377717156335,2.7064773513704665,0.0,0.3715304755705493,1.8798900022739649,4.378653969831216,6.3947443268033775,7.083696262975789,9.927498557944267,15,,,226,0
16,99753,189,17,0,41,0,0,0,1,0,0,0,0,0,1,0.3155493562580013,True,4.074336501444821,2.7591007526345903,0.0,0.0,1.7422033370298962,4.202677745600768,6.433325580315508,7.326166392222332,9.2650243780778,16,,,247,0
17,99730,195,28,0,47,0,0,0,1,0,0,0,0,0,1,0.32033238029836686,True,4.267253817377611,2.8417888029879768,0.0,0.6246632983285174,1.9756153370316651,4.4990358997305115,6.7283796430248195,7.347989945965655,13.337207430944858,17,,,270,0
18,99706,213,32,0,49,0,0,0,1,0,0,0,0,0,1,0.3202477614261953,True,4.349233446672182,2.8443601789457045,0.0,0.575190297415252,2.1053097832522973,4.422049370696374,6.69949630038917,7.436382079601463,12.465011056140614,18,,,294,0
19,99680,231,35,0,54,0,0,0,1,0,0,0,0,0,1,0.3247389815209178,True,4.093457926820607,2.84532918416572,0.0,0.05307359657696452,1.4525910717754629,4.385862038139841,6.499012262189728,7.19050034521651,11.59281468133637,19,,,320,0
20,99652,252,39,0,57,0,0,0,1,0,0,0,0,0,1,0.3221743818971906,True,4.159521183233994,2.786962665289786,0.0,0.650345512779099,1.6482504092749166,4.196383078491801,6.473269492470261,7.258360287332358,11.833384237743413,20,,,348,0
21,99622,272,45,0,61,0,0,0,1,0,0,0,0,0,1,0.3231889765811259,True,4.247732977917213,2.793063525256331,0.0,0.5938381756624189,2.0503145292707403,4.597232895847951,6.5083568466144595,7.234228210765422,11.147365751557446,21,,,378,0
22,99589,290,53,0,68,0,0,0,1,0,0,0,0,0,1,0.3131842269582422,True,4.363120577575945,2.8716063802236746,0.0,0.27532759531363526,1.7935085734735359,4.989168807895973,6.719495003216934,7.389971864922108,10.46134726537148,22,,,411,0
23,99554,311,66,0,69,0,0,0,1,0,0,0,0,0,1,0.3078874472933028,True,4.420502001655247,2.742090523389129,0.0,0.9101078047634195,2.0390352477402782,4.84554329373681,6.698796269827159,7.324377395317272,9.948295628700336,23,,,446,0
24,99517,333,80,0,70,0,0,0,1,0,0,0,0,0,1,0.30696062714176875,True,4.594052903027791,2.8390445155084247,0.0,0.7682240263017142,2.1080483100864624,5.053179049301555,6.9738434531155695,7.578412440040032,10.30918862021494,24,,,483,0
25,99477,358,90,0,75,0,0,0,1,0,0,0,0,0,1,0.3162586072754009,True,4.659006490621592,2.848838020773332,0.0,0.6641054522586675,2.0802428461507168,5.169150480015485,7.021573318603612,7.63081729121929,10.94662596345108,25,,,523,0
26,99434,391,94,0,81,0,0,0,1,0,0,0,0,0,1,0.3060553551986825,True,4.5135940214559165,2.909880048194474,0.0,0.10252433593411385,1.8769332710119215,5.200236374581454,6.877488865787387,7.468172927441817,14.991834953052983,26,,,566,0
27,99387,420,110,0,83,0,0,0,1,0,0,0,0,0,1,0.2993694649642994,True,4.472071281110605,2.8138610792714123,0.0,0.26598618726593515,2.2449012163532216,5.003395897833217,6.70302045357828,7.205114599029184,13.501626546646449,27,,,613,0
28,99337,448,124,0,91,0,0,0,1,0,0,0,0,0,1,0.3016227836710607,True,4.510293701105179,2.6775689514366396,0.0,0.8122587441992386,2.3014604819980815,4.9146832145232935,6.641907213571504,7.320328198512035,9.667228864038632,28,,,663,0
29,99283,482,140,0,95,0,0,0,1,0,0,0,0,0,1,0.3066648702003483,True,4.453397189900324,2.669959155120985,0.0,0.7734801474592393,2.2796950989493574,4.99658538647312,6.581919477233122,7.3555443892663845,11.304451316960904,29,,,717,0
30,99225,525,152,0,98,1666,9,1666,1,0,9,1630,24,3,1,0.3177030918220948,True,4.311885051358816,2.7239786877962944,0.0,0.47933653244768293,1.9522890146743455,4.7157872753415315,6.59792929014147,7.252905471444887,10.701612774725955,30,0.2727272727272727,0.998162890385793,775,1666
31,99162,578,156,0,104,1666,9,1666,1,0,9,1638,17,2,1,0.32009986268750973,True,4.245933606278346,2.6744323023588876,0.0,0.6539488122727865,1.9531967001573354,4.574494382570442,6.559583592047423,7.1130430228373,10.39092978472527,31,0.34615384615384615,0.998780487804878,838,1666
32,99093,615,170,9,113,1666,9,1666,1,0,9,1644,12,1,1,0.3213702716278463,True,4.228124558819631,2.779023760952327,0.0,0.1322816039938951,1.7776725621234313,4.622152542439342,6.483319124190697,7.175799164275313,12.295782355734493,32,0.42857142857142855,0.9993920972644377,907,1666
33,99019,652,184,18,127,1666,10,1666,1,0,10,1632,18,6,1,0.31933563167601464,True,4.186920123591128,2.799290247168779,0.0,0.16029153041202154,1.7285435311912054,4.611479371708375,6.48669974042018,7.30995424722115,11.774062672785535,33,0.35714285714285715,0.9963369963369964,981,1666
34,98941,687,205,27,140,1666,8,1666,1,0,8,1642,15,1,1,0.323114473015249,True,4.256988399127325,2.7607658220876305,0.0,0.3982653354609486,1.819157175227925,4.656368608521113,6.474959621239908,7.29457957292342,12.522325109661532,34,0.34782608695652173,0.9993913572732805,1059,1666
35,98859,728,216,37,160,1666,11,1666,1,0,11,1636,14,5,1,0.3205815661464437,True,4.234356798329743,2.77944985778479,0.0,0.36267891363941596,1.7947288141915307,4.4721685606549855,6.587262557636542,7.235880218411456,13.148204560194925,35,0.44,0.9969530773918343,1141,1666
36,98772,770,238,44,176,1666,8,1666,1,0,8,1644,10,4,1,0.32315429058955647,True,4.227592345885385,2.777883448231795,0.0,0.29701389641781417,1.9342374392512631,4.480677168211854,6.596425251184745,7.221027488405662,12.661799702499888,36,0.4444444444444444,0.9975728155339806,1228,1666
37,98680,818,253,55,194,1666,8,1666,1,0,8,1640,14,4,1,0.32078133674574394,True,4.2364750606596475,2.818008692009325,0.0,0.22756181957343094,1.8486641862058923,4.4247972759371805,6.590891626149202,7.39677529514751,13.437340353655143,37,0.36363636363636365,0.9975669099756691,1320,1666
38,98582,871,281,61,205,1666,9,1666,1,0,9,1633,19,5,1,0.31882919540717425,True,4.24834198924999,2.7608877808788415,0.0,0.5827601170440879,1.8054749516131738,4.51642078492299,6.525216524048485,7.252129312889284,13.257005743267936,38,0.32142857142857145,0.996947496947497,1418,1666
39,98478,937,306,69,210,1666,12,1666,1,0,12,1628,21,5,1,0.32218889746729756,True,4.307323997586302,2.766043938758534,0.0,0.6088387161921154,1.9761165585220049,4.6719680920136275,6.677605021490602,7.236630169039084,12.544631887442893,39,0.36363636363636365,0.9969381506429884,1522,1666
40,98366,1011,327,75,221,1666,9,1666,1,0,9,1636,14,7,1,0.32006912474106686,True,4.215994769539375,2.8063657029408193,0.0,0.443584518208455,1.697328508171121,4.626646145137231,6.585057458846161,7.210389062649778,14.06751375914127,40,0.391304347826087,0.995739500912964,1634,1666
41,98246,1070,361,86,237,1666,15,1666,1,0,15,1629,17,5,1,0.3208007458928473,True,4.293970491107108,2.793605382874133,0.0,0.5185019707136768,1.8501793047840378,4.607439326465854,6.522181966959851,7.363618200776819,13.522357616207628,41,0.46875,0.9969400244798041,1754,1666
42,98119,1136,388,93,264,1666,11,1666,1,0,11,1634,16,5,1,0.31685787412067634,True,4.197415539987251,2.8077356774043354,0.0,0.2706489932364801,1.5917706052972698,4.646671667990291,6.542188634931026,7.245360797983341,12.977201473273986,42,0.4074074074074074,0.9969493593654668,1881,1666
43,97984,1206,429,104,277,1666,12,1666,1,0,12,1641,10,3,1,0.3083077883202834,True,4.195379124264695,2.8188166277211546,0.0,0.159920462398131,1.691922788389793,4.491580372496751,6.59604629798405,7.343821697548359,12.432045330340346,43,0.5454545454545454,0.9981751824817519,2016,1666
44,97841,1277,478,112,292,1666,13,1666,1,0,13,1630,15,8,1,0.3108092206116947,True,4.227058477142568,2.789787178275754,0.0,0.3144520444891771,1.5966197098142758,4.5986423846559354,6.525588504609999,7.311228504695013,11.886889187406704,44,0.4642857142857143,0.9951159951159951,2159,1666
45,97690,1361,517,115,317,1666,14,1666,1,0,14,1626,21,5,1,0.3099844039931064,True,4.2943070235978755,2.782332901947257,0.0,0.4575393896502484,1.8111580302375012,4.5920918415355505,6.642187479268885,7.348128512789602,11.341733044473061,45,0.4,0.996934396076027,2310,1666
46,97529,1441,567,122,341,1666,17,1666,1,0,17,1622,16,11,1,0.3074415995700247,True,4.425394140897723,2.7727248191423244,0.0,0.530160349703801,2.0194248198924662,4.847162651694145,6.748807256767325,7.3647094057694735,11.055431606605739,46,0.5151515151515151,0.9932639314145744,2471,1666
47,97359,1541,620,127,353,1666,19,1666,1,0,19,1625,12,10,1,0.3094049714735906,True,4.409308365987811,2.8117020094859964,0.0,0.47049779602236275,1.965002176037597,4.829128912620004,6.809949476007031,7.436674169881779,12.602539782876777,47,0.6129032258064516,0.9938837920489296,2641,1666
48,97178,1647,668,139,368,1666,21,1666,1,0,21,1614,14,17,1,0.30931537203707565,True,4.368550858194086,2.778344978773576,0.0,0.45776007044568195,1.9126328961700991,4.855755102994861,6.723517393076431,7.308428869895613,12.040142608837145,48,0.6,0.9895769466584917,2822,1666
49,96985,1750,716,154,395,1666,24,1666,1,0,24,1615,15,12,1,0.30719410402358005,True,4.3957164277465175,2.779369523420375,0.0,0.4848245239221268,2.0003893424364563,4.874697854506869,6.6759758086453,7.332513252304918,11.477745434797514,49,0.6153846153846154,0.9926244622003688,3015,1666
50,96780,1866,782,168,404,1666,19,1666,1,0,19,1612,20,15,1,0.3062399695336939,True,4.3722090188927405,2.721493206701955,0.0,0.5746718568153091,2.1148588142308693,4.765019162170248,6.5781423372474785,7.258695499884396,11.797872762885412,50,0.48717948717948717,0.990780577750461,3220,1666
51,96562,1963,851,183,441,1666,22,1666,1,0,22,1619,13,12,1,0.30712881629641414,True,4.425827471430285,2.691520920864134,0.0,0.6638215388160826,2.208904671584243,4.887475418921545,6.594660956702308,7.268890643322543,10.983836195961333,51,0.6285714285714286,0.9926425505824648,3438,1666
52,96333,2083,924,193,467,1666,18,1666,1,0,18,1616,17,15,1,0.30784932612326277,True,4.435923431556203,2.715403063763632,0.0,0.673694002411999,2.102367255344673,4.909938110440408,6.636045103137042,7.4138385191917955,10.792152981110542,52,0.5142857142857142,0.9908031882280809,3667,1666
53,96090,2231,989,205,485,1666,23,1666,1,0,23,1609,20,14,1,0.3133038348863567,True,4.409270064464026,2.6794137501731736,0.0,0.7819697617549611,2.2535364155916944,4.733415827729311,6.645676288802353,7.300751160090426,11.35963482479672,53,0.5348837209302325,0.9913739987677141,3910,1666
54,95831,2379,1040,218,532,1666,29,1666,1,0,29,1605,23,9,1,0.31409906922440406,True,4.324051557112116,2.672014080099103,0.0,0.5000643743288312,2.167522850357645,4.675632721520634,6.551955875501607,7.128624861526158,10.796367010567774,54,0.5576923076923077,0.9944237918215614,4169,1666
55,95555,2546,1116,230,553,1666,26,1666,1,0,26,1615,17,8,1,0.3143618770894229,True,4.2400708853332825,2.704446575683704,0.0,0.4786152891838645,1.9454401939916477,4.643098393109557,6.499653820879319,7.146782479370948,10.610422035059068,55,0.6046511627906976,0.9950708564386938,4445,1666
56,95261,2705,1197,250,587,1666,27,1666,1,0,27,1609,11,19,1,0.31695211849850974,True,4.155130276088212,2.699869717658903,0.0,0.40951205948668473,1.8616524016942906,4.451014497182734,6.366877903548462,7.0973051851571345,11.991029451986666,56,0.7105263157894737,0.9883292383292384,4739,1666
57,94949,2888,1279,261,623,1666,35,1666,1,0,35,1598,16,17,1,0.3204953571436425,True,4.2443388497764305,2.6780130452947644,0.0,0.6163279855229884,1.9553863756783614,4.58472323309084,6.48506560623124,7.161459487722933,11.37332267493368,57,0.6862745098039216,0.9894736842105263,5051,1666
58,94618,3077,1375,271,659,1666,38,1666,1,0,38,1601,15,12,1,0.32159616103135297,True,4.280902278475232,2.7146913357536864,0.0,0.5741727567450635,1.955542162022885,4.64588776478443,6.563456854689442,7.233118620312027,11.840732187060647,58,0.7169811320754716,0.9925604463732176,5382,1666
59,94266,3251,1476,290,717,1666,34,1666,1,0,34,1597,11,24,1,0.3212234596626695,True,4.23183066344365,2.748348373448538,0.0,0.39868181248285917,1.7392689959742271,4.542718780613836,6.585036892015072,7.193192765371022,12.412384420814739,59,0.7555555555555555,0.9851943244910549,5734,1666
60,93896,3442,1594,314,754,1666,41,1666,1,0,41,1590,14,21,1,0.32187771238790075,True,4.278669106722054,2.7454403549080837,0.0,0.4703258996230055,1.8416429577979758,4.528025833913159,6.531703012855083,7.258849562916543,11.010998383037379,60,0.7454545454545455,0.9869646182495344,6104,1666
61,93505,3662,1707,324,802,1666,47,1666,1,0,47,1583,13,23,1,0.3241781979247032,True,4.321318386652011,2.7346816750633804,0.0,0.7007250846289057,1.9837150654699862,4.518250216942772,6.626016058361916,7.379755837554534,12.519565028511114,61,0.7833333333333333,0.9856787048567871,6495,1666
62,93091,3879,1817,351,862,1666,49,1666,1,0,49,1574,15,28,1,0.3250872399942747,True,4.272822674038549,2.7751146693895468,0.0,0.4106070701436721,1.8989867374554175,4.592545668453509,6.577561860154289,7.326204625617874,13.49724438147695,62,0.765625,0.982521847690387,6909,1666
63,92654,4104,1950,380,912,1666,48,1666,1,0,48,1574,15,29,1,0.3245092491254874,True,4.233620537810668,2.7748421132146897,0.0,0.41785781758057383,1.80330794447511,4.605750660353422,6.647952361919156,7.260828887311723,12.812489616727659,63,0.7619047619047619,0.9819089207735496,7346,1666
64,92194,4331,2101,410,964,1666,65,1666,1,0,65,1550,18,33,1,0.32340800644807266,True,4.24624387257908,2.7329377972902256,0.0,0.5122287145269219,1.9208484931354404,4.528099086972995,6.573691301059345,7.228044958713984,12.127734851978369,64,0.7831325301204819,0.9791535060012634,7806,1666
