,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13000528156878208,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.1546288325715128,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.18026218117423423,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20208350939875327,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,,78,0
5,99913,76,0,0,11,0,0,0,1,0,0,0,0,0,1,0.2237206456391508,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24385119525841786,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.25994828591299896,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,,106,0
8,99883,97,0,0,20,0,0,0,1,0,0,0,0,0,1,0.27834571519330503,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,,117,0
9,99871,106,0,0,23,0,0,0,1,0,0,0,0,0,1,0.2929134811253408,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,,,129,0
10,99858,118,0,0,24,0,0,0,1,0,0,0,0,0,1,0.3069317368830257,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,142,0
11,99844,129,0,0,27,0,0,0,1,0,0,0,0,0,1,0.3148737432967193,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,,,156,0
12,99828,136,1,0,35,0,0,0,1,0,0,0,0,0,1,0.3176158336277598,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,,172,0
13,99812,147,3,0,38,0,0,0,1,0,0,0,0,0,1,0.31606806022453654,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,,,188,0
14,99794,159,8,0,39,0,0,0,1,0,0,0,0,0,1,0.3238122866893714,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,,,206,0
15,99775,174,9,0,42,0,0,0,1,0,0,0,0,0,1,0.3248542126272672,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,,,225,0
16,99754,188,14,0,44,0,0,0,1,0,0,0,0,0,1,0.31013906336952013,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,,246,0
17,99731,198,24,0,47,0,0,0,1,0,0,0,0,0,1,0.3160907262773298,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,,269,0
18,99707,218,27,0,48,0,0,0,1,0,0,0,0,0,1,0.3131627394615621,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,,,293,0
19,99681,236,32,0,51,0,0,0,1,0,0,0,0,0,1,0.3239166136162285,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,,,319,0
20,99653,258,35,0,54,0,0,0,1,0,0,0,0,0,1,0.3101628531404126,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,347,0
21,99622,271,46,0,61,0,0,0,1,0,0,0,0,0,1,0.3099581417131466,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,,,378,0
22,99589,293,53,0,65,0,0,0,1,0,0,0,0,0,1,0.3130578791105281,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,,,411,0
23,99554,316,61,0,69,0,0,0,1,0,0,0,0,0,1,0.3052941039806045,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,,,446,0
24,99516,337,73,0,74,0,0,0,1,0,0,0,0,0,1,0.30364411731974195,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,,484,0
25,99475,363,82,0,80,0,0,0,1,0,0,0,0,0,1,0.30186394892650353,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,,,525,0
26,99431,395,94,0,80,0,0,0,1,0,0,0,0,0,1,0.3110387043377099,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,,,569,0
27,99384,431,101,0,84,0,0,0,1,0,0,0,0,0,1,0.30999138225714346,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,,,616,0
28,99332,463,110,0,95,0,0,0,1,0,0,0,0,0,1,0.30775465823322723,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,,,668,0
29,99276,497,124,0,103,0,0,0,1,0,0,0,0,0,1,0.2967260947009926,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,,,724,0
30,99216,533,142,0,109,29989,82,29989,1,0,82,29177,637,93,1,0.30803804564491716,True,4.401178861850432,2.7751805496216737,0.0,0.22037182407490494,2.2372030054474066,4.696305793350465,6.743981637056124,7.371124394834268,9.521085851872877,30,0.11404728789986092,0.9968226853433549,784,29989
31,99152,504,153,82,109,30029,86,30029,1,0,86,29285,581,77,1,0.32207348177042106,True,4.443468066266728,2.6491863823686,0.0,0.6691402413917069,2.1088523297293014,5.071414192135477,6.722541635900216,7.161465380932541,8.945713072274092,31,0.12893553223388307,0.9973775628363191,848,30029
32,99092,461,163,168,116,29928,87,29928,1,0,87,29190,556,95,1,0.3402144393053112,True,4.227882044777559,2.8703207646939086,0.0,0.0,1.3801075731538768,4.681373766591278,6.770985143749072,7.356363524613341,9.291097587972324,32,0.13530326594090203,0.9967560184394741,908,29928
