,p,sep1,sed1
121,0.1395244022835558,0.5629133979387787,0.5629133979387787
122,0.13486976096044592,0.5634239389604196,0.5634239389604196
123,0.1306316431713818,0.5536709275647329,0.5536709275647329
124,0.1256048968604117,0.5521347167885695,0.5521347167885695
125,0.12104954402431871,0.5485945898317033,0.5485945898317033
126,0.11639569425368129,0.5473838272960118,0.5473838272960118
127,0.11212668721436922,0.5440758293838862,0.5440758293838862
128,0.10765067911714771,0.5413504189255791,0.5413504189255791
129,0.10315492838376134,0.5392831467597823,0.5392831467597823
130,0.0986892177589852,0.5400599828620394,0.5400599828620394
131,0.09449624504261243,0.5401272463444581,0.5401272463444581
132,0.0902402829086546,0.5454863540937719,0.5454863540937719
133,0.08610551075268817,0.5463414634146342,0.5463414634146342
134,0.08283285643912,0.539288877641402,0.539288877641402
135,0.07940742600671667,0.5321475625823452,0.5321475625823452
136,0.07609921082299888,0.5248285322359396,0.5248285322359396
137,0.07298327466622233,0.523972602739726,0.523972602739726
138,0.0698919143629183,0.5213382899628253,0.5213382899628253
139,0.06682916709884866,0.5168399813751358,0.5168399813751358
140,0.06356699899576565,0.5218241042345277,0.5218241042345277
141,0.06082805509345843,0.5182605741464243,0.5182605741464243
142,0.05794724190936008,0.5150436175894606,0.5150436175894606
143,0.054761070699993815,0.5153339604891816,0.5153339604891816
144,0.052199045503167944,0.5113300492610837,0.5113300492610837
145,0.049506475898973924,0.5132780082987551,0.5132780082987551
146,0.0472,0.5043459365493264,0.5043459365493264
147,0.044815114599235664,0.5004572473708276,0.5004572473708276
148,0.04272717038674485,0.49293413173652695,0.49293413173652695
149,0.040419528949950934,0.49645928174001014,0.49645928174001014
150,0.03824673534606863,0.49466097170315004,0.49466097170315004
151,0.03639182407898495,0.5025224215246636,0.5025224215246636
152,0.03427127692088266,0.510998810939358,0.510998810939358
153,0.03225510951876883,0.502366677185232,0.502366677185232
154,0.030471928397070788,0.5036715620827771,0.5036715620827771
155,0.028967830461960664,0.5,0.5
156,0.027620382217348038,0.5073529411764706,0.5073529411764706
157,0.026085368452024634,0.5075845974329055,0.5075845974329055
158,0.024650564064099576,0.5197368421052632,0.5197368421052632
159,0.02339524803014037,0.5168831168831168,0.5168831168831168
160,0.022118566036972206,0.5082342177493138,0.5082342177493138
161,0.020860930500642107,0.5036354823073195,0.5036354823073195
162,0.019819692345010208,0.5028046914839368,0.5028046914839368
163,0.018667043778662195,0.5054112554112554,0.5054112554112554
164,0.017649434571890145,0.494279176201373,0.494279176201373
165,0.016611664496856297,0.47509113001215064,0.47509113001215064
166,0.015750176571486228,0.4695707879564382,0.4695707879564382
167,0.014723827388335905,0.4671232876712329,0.4671232876712329
168,0.013925020670740315,0.46125995655322233,0.46125995655322233
169,0.013062540946429472,0.4652777777777778,0.4652777777777778
170,0.012310854103282223,0.4705400981996727,0.4705400981996727
171,0.011530482769732734,0.4873362445414847,0.4873362445414847
172,0.01069088053796672,0.4915254237288136,0.4915254237288136
173,0.010172663607824197,0.4836795252225519,0.4836795252225519
174,0.009505703422053232,0.4835978835978836,0.4835978835978836
175,0.008929918242978249,0.48873873873873874,0.48873873873873874
176,0.008263631976837703,0.4951338199513382,0.4951338199513382
177,0.007817995457925518,0.519280205655527,0.519280205655527
178,0.007534053923735283,0.5106666666666667,0.5106666666666667
179,0.007149886525677331,0.5140449438202247,0.5140449438202247
180,0.006605961428413666,0.5197568389057751,0.5197568389057751
181,0.006223462453449504,0.5048387096774194,0.5048387096774194
182,0.005940494706738247,0.49493243243243246,0.49493243243243246
183,0.005557896426493308,0.4729241877256318,0.4729241877256318
184,0.0052654805127073595,0.4780952380952381,0.4780952380952381
185,0.005023916248006979,0.4810379241516966,0.4810379241516966
186,0.004802486464808502,0.4759916492693111,0.4759916492693111
187,0.004520940676436978,0.48337028824833705,0.48337028824833705
188,0.0042696066148834875,0.49061032863849763,0.49061032863849763
189,0.003938665063138906,0.5012722646310432,0.5012722646310432
190,0.003787689008687636,0.4973544973544973,0.4973544973544973
191,0.003536755202436654,0.5155807365439093,0.5155807365439093
192,0.003325920137845365,0.5,0.5
193,0.0030351901751995915,0.4752475247524752,0.4752475247524752
194,0.0028848176454679313,0.4652777777777778,0.4652777777777778
195,0.0027642846411938503,0.4963768115942029,0.4963768115942029
196,0.0026938252318291973,0.45353159851301117,0.45353159851301117
197,0.00253334401409861,0.466403162055336,0.466403162055336
198,0.002363001011284331,0.4830508474576271,0.4830508474576271
199,0.0021825972907760236,0.481651376146789,0.481651376146789
200,0.0020322354590049056,0.4630541871921182,0.4630541871921182
201,0.0018720405241713467,0.48663101604278075,0.48663101604278075
202,0.001721842371337331,0.4476744186046512,0.4476744186046512
203,0.0015816449107071355,0.4873417721518987,0.4873417721518987
204,0.0014814518227863306,0.46621621621621623,0.46621621621621623
205,0.001361252352163991,0.5147058823529411,0.5147058823529411
206,0.0012511761055392068,0.512,0.512
207,0.0012210501030886563,0.5,0.5
208,0.001140969824350698,0.4473684210526316,0.4473684210526316
209,0.0010408326661329064,0.5,0.5
210,0.0009406961151251927,0.48936170212765956,0.48936170212765956
211,0.0008806781221540587,0.45454545454545453,0.45454545454545453
212,0.0008006084624314479,0.45,0.45
213,0.0007705470884327873,0.44155844155844154,0.44155844155844154
214,0.0007505103470359845,0.4533333333333333,0.4533333333333333
215,0.0006804014368477401,0.5,0.5
216,0.00064032016008004,0.515625,0.515625
217,0.0006102685181479851,0.4918032786885246,0.4918032786885246
218,0.0005702452054383385,0.543859649122807,0.543859649122807
219,0.0005302014765610932,0.5471698113207547,0.5471698113207547
220,0.00047016926093393623,0.6170212765957447,0.6170212765957447
221,0.000430141946842458,0.5581395348837209,0.5581395348837209
222,0.000410135344663739,0.5365853658536586,0.5365853658536586
223,0.0003901209374906221,0.48717948717948717,0.48717948717948717
224,0.00038012163892445585,0.4473684210526316,0.4473684210526316
225,0.00038009882569468064,0.42105263157894735,0.42105263157894735
226,0.0003400850212553138,0.47058823529411764,0.47058823529411764
227,0.0003100713164027726,0.45161290322580644,0.45161290322580644
228,0.00027006211428628584,0.5185185185185185,0.5185185185185185
229,0.00026005201040208044,0.5,0.5
230,0.00024004080693717933,0.4166666666666667,0.4166666666666667
231,0.00024003840614498319,0.4583333333333333,0.4583333333333333
232,0.0002100294041165763,0.5238095238095238,0.5238095238095238
