,p,sep1,sed1,time
0,0.0005,0.38,0.38,0
1,0.00056,0.5892857142857143,0.5892857142857143,1
2,0.0006200062000620006,0.7258064516129032,0.7258064516129032,2
3,0.0006500325016250812,0.8307692307692308,0.8307692307692308,3
4,0.0007100497034792435,0.8450704225352113,0.8450704225352113,4
5,0.0007700770077007701,0.8181818181818182,0.8181818181818182,5
6,0.0008001280204832773,0.8625,0.8625,6
7,0.000880158428517133,0.7954545454545454,0.7954545454545454,7
8,0.0009602016423448924,0.71875,0.71875,8
9,0.0010602438560869,0.7641509433962265,0.7641509433962265,9
10,0.0011702925731432857,0.717948717948718,0.717948717948718,10
11,0.001290348394066398,0.6821705426356589,0.6821705426356589,11
12,0.0014104231269380814,0.6808510638297872,0.6808510638297872,12
13,0.0015105135746153692,0.6357615894039735,0.6357615894039735,13
14,0.0015906362545018008,0.6226415094339622,0.6226415094339622,14
15,0.0016907777577685734,0.6804733727810651,0.6804733727810651,15
16,0.0017809082632142394,0.651685393258427,0.651685393258427,16
17,0.0018210379916552436,0.6208791208791209,0.6208791208791209,17
18,0.0019711827096257754,0.6091370558375635,0.6091370558375635,18
19,0.002071470744228402,0.6183574879227053,0.6183574879227053,19
20,0.002221710717252284,0.6216216216216216,0.6216216216216216,20
21,0.0023519991993194217,0.6127659574468085,0.6127659574468085,21
22,0.0025322030166244633,0.6442687747035574,0.6442687747035574,22
23,0.0026424045881752395,0.6477272727272727,0.6477272727272727,23
24,0.0028326343499454495,0.6501766784452296,0.6501766784452296,24
25,0.002972972972972973,0.6430976430976431,0.6430976430976431,25
26,0.0032134705481920473,0.6666666666666666,0.6666666666666666,26
27,0.0034239032497046635,0.6695906432748538,0.6695906432748538,27
28,0.0035645626401794297,0.6938202247191011,0.6938202247191011,28
29,0.0037750585784951836,0.6631299734748011,0.6631299734748011,29
30,0.004005728191313579,0.655,0.655,30
31,0.004346345664670419,0.6935483870967742,0.6935483870967742,31
32,0.004647156621196643,0.6896551724137931,0.6896551724137931,32
33,0.004987830894504372,0.6927710843373494,0.6927710843373494,33
34,0.005288991285184814,0.6856060606060606,0.6856060606060606,34
35,0.005640208777887977,0.6998223801065719,0.6998223801065719,35
36,0.0060915129594934425,0.6759868421052632,0.6759868421052632,36
37,0.006523046092184369,0.6728110599078341,0.6728110599078341,37
38,0.00688487132205564,0.6681222707423581,0.6681222707423581,38
39,0.007376967024155558,0.6766304347826086,0.6766304347826086,39
40,0.007849545367966237,0.6475095785440613,0.6475095785440613,40
41,0.008342775777873596,0.6430288461538461,0.6430288461538461,41
42,0.008985248548421063,0.6573660714285714,0.6573660714285714,42
43,0.009588093112820564,0.6589958158995816,0.6589958158995816,43
44,0.010261502813637868,0.667644183773216,0.667644183773216,44
45,0.010925398290461094,0.6721763085399449,0.6721763085399449,45
46,0.011551237919372159,0.6741963509991312,0.6741963509991312,46
47,0.012217280876993966,0.6705012325390304,0.6705012325390304,47
48,0.013083380191180015,0.6607828089025326,0.6607828089025326,48
49,0.01392975866467144,0.6661860129776496,0.6661860129776496,49
50,0.014897036664992466,0.6709372892784895,0.6709372892784895,50
51,0.015887531152021867,0.6590765338393422,0.6590765338393422,51
52,0.016867203441794074,0.6591179976162098,0.6591179976162098,52
53,0.01808803716141487,0.660366870483602,0.660366870483602,53
54,0.019319736101053985,0.6684018740239459,0.6684018740239459,54
55,0.0204921331133556,0.6588119783996073,0.6588119783996073,55
56,0.02197846432524907,0.6707875457875457,0.6707875457875457,56
57,0.023279229932739943,0.6721453287197232,0.6721453287197232,57
58,0.024779153278201398,0.6776422764227642,0.6776422764227642,58
59,0.026406232677209002,0.6706106870229007,0.6706106870229007,59
60,0.02815140454536288,0.669054441260745,0.669054441260745,60
61,0.030219586245851866,0.6588785046728972,0.6588785046728972,61
62,0.03228052472250252,0.6689590497030322,0.6689590497030322,62
63,0.0344284473880823,0.658357771260997,0.658357771260997,63
64,0.03646670102155264,0.6591853699085619,0.6591853699085619,64
65,0.03882749067230205,0.6690104166666667,0.6690104166666667,65
66,0.04104889230738091,0.6609960552268245,0.6609960552268245,66
67,0.043622699603982455,0.6547480845135826,0.6547480845135826,67
68,0.046184881445963895,0.6571553994732221,0.6571553994732221,68
69,0.04883418900545872,0.660918346145855,0.660918346145855,69
70,0.05167685713705336,0.6517295597484277,0.6517295597484277,70
71,0.054689803096378074,0.6644981412639405,0.6644981412639405,71
72,0.05768448044283447,0.6660786734873876,0.6660786734873876,72
73,0.06082616003667295,0.6685647295260425,0.6685647295260425,73
74,0.06397869757287002,0.663690001594642,0.663690001594642,74
75,0.06750158334525098,0.6664648910411622,0.6664648910411622,75
76,0.0710800609637593,0.6665707296013815,0.6665707296013815,76
77,0.07508347159917245,0.6628018005729096,0.6628018005729096,77
78,0.0791168447607523,0.6655865197666883,0.6655865197666883,78
79,0.08316646642637832,0.6653907889862946,0.6653907889862946,79
80,0.08714794165449422,0.664423984891407,0.664423984891407,80
81,0.09142138934962449,0.664412891593419,0.664412891593419,81
82,0.09577508382770183,0.6553915759991382,0.6553915759991382,82
83,0.10037620405969655,0.6544481054365733,0.6544481054365733,83
84,0.10507088895788058,0.6547818378804294,0.6547818378804294,84
85,0.10952953617118331,0.6566966398485565,0.6566966398485565,85
86,0.11394626704468745,0.6557601166605906,0.6557601166605906,86
87,0.1180928586300229,0.658762341325811,0.658762341325811,87
88,0.12312008510460774,0.6565861922914019,0.6565861922914019,88
89,0.12783313488333228,0.660348067652586,0.660348067652586,89
90,0.13257211035291164,0.6531933370174469,0.6531933370174469,90
