,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,30,0,0,0,0,0,30,0.09766054269012749,True,2.87390310132933,3.3706610702310975,0.0,0.0,0.0,0.20427740470978592,6.5385275279418344,6.977574218983212,9.499002822232812,0,,,50,0
1,99944,56,0,0,0,0,0,0,30,0,0,0,0,0,30,0.12907510299778177,True,4.044062309945144,2.974817483038917,0.0,0.0,0.6133860254402963,5.120578367957238,6.64469303222327,7.17611185470679,8.870888734666563,1,,,56,0
2,99937,62,0,0,1,0,0,0,30,0,0,0,0,0,30,0.15196160144544638,True,5.140522598119815,2.689337455696028,0.0,1.2200528601768355,3.4555302262739964,6.062170930018677,6.978252976821633,7.595667691688429,8.728887355693342,2,,,63,0
3,99930,65,0,0,5,0,0,0,30,0,0,0,0,0,30,0.1755825744627671,True,5.552638362887082,2.5389930480043166,0.0,2.8042874475603536,4.539879546857371,6.323110290710202,7.277377701371045,7.917232871360971,9.055359749774363,3,,,70,0
4,99922,71,0,0,7,0,0,0,30,0,0,0,0,0,30,0.19596205473051204,True,5.451464689075299,2.5429844673777837,0.0,2.8020250927896475,4.8128724977958965,6.032774526894691,7.18022440071927,7.627134211300568,9.932183407784066,4,,,78,0
5,99913,77,0,0,10,0,0,0,30,0,0,0,0,0,30,0.21585035818290815,True,5.1942014164058765,2.7268979590373905,0.0,1.1134030649465037,3.6658184493572143,5.71514563050782,7.018943960768674,7.480887501875157,10.772967725452665,5,,,87,0
6,99904,81,0,0,15,0,0,0,30,0,0,0,0,0,30,0.2377694340431948,True,5.054987351613447,2.544165444233801,0.0,2.350672010656183,3.3734778595473323,5.795539872257879,6.785593747228921,7.308293226983835,10.051831014130617,6,,,96,0
7,99894,88,0,0,18,0,0,0,30,0,0,0,0,0,30,0.25789821697689413,True,5.0284763932726015,2.5058498170339916,0.0,2.3511758806126624,4.200218043834646,5.41979658914083,6.814163212278517,7.444410692887702,9.330694302808569,7,,,106,0
8,99883,96,0,0,21,0,0,0,30,0,0,0,0,0,30,0.27473735692184303,True,5.043449474679669,2.6641156850397603,0.0,1.7142886521817116,3.8071913771206636,5.435941364383971,7.0043467482698,7.772883903982484,10.818703247878958,8,,,117,0
9,99871,105,0,0,24,29190,13,1663,30,973,13,29156,7,14,30,0.2894714649193425,True,4.730650499839906,2.7221688440771055,0.0,1.364466646124216,3.33082453461257,5.189498784577137,6.676767748069781,7.487034310003465,10.281840701568857,9,0.65,0.9995200548508741,129,29190
10,99858,117,0,0,25,24720,25,1664,30,824,25,24665,14,16,30,0.3031395480587957,True,4.672026865386912,2.8649017470823797,0.0,0.5414642188696532,2.754972599318965,5.062541889634744,7.040240564308256,7.548726337931065,9.744978155258755,10,0.6410256410256411,0.9993517280499169,142,24720
11,99844,128,0,0,28,27480,17,1666,30,916,17,27442,9,12,30,0.31301377789047025,True,4.31343037388927,2.5169953660873703,0.0,0.6364973589262961,2.5435345250287384,4.56288247397816,6.485089034961761,6.789268833292077,8.803148965074579,11,0.6538461538461539,0.9995629052232826,156,27480
12,99829,128,0,13,30,8646,6,469,30,289,6,8626,3,11,30,0.3038918172990521,True,4.362911982229237,2.5242129385430725,0.0,2.359142271254577,3.2460189820370586,3.7753184180316,6.351733981146709,7.707084341805375,8.836159930580726,12,0.6666666666666666,0.9987264096329744,171,8646
13,99814,117,2,38,29,32100,15,1640,30,1070,15,32064,4,17,30,0.28210272042863277,True,4.516175048746294,2.7741615985411223,0.0,1.101799873780308,2.0314607128239124,4.913703938184027,7.1688494711868405,7.718863007583966,8.88222589021385,13,0.7894736842105263,0.9994700913313176,186,32100
14,99800,108,6,55,31,27480,17,1666,30,916,17,27445,6,12,30,0.28715745140928295,True,4.522015141480125,2.712433237167321,0.0,0.861292390414149,2.424971181587013,4.824287695349277,6.912472209922584,7.367688564320959,8.392596920367637,14,0.7391304347826086,0.9995629529810248,200,27480
15,99787,112,8,60,33,27180,18,1656,30,906,18,27134,11,17,30,0.2872922570537321,True,4.224902133964109,3.2289280195121495,0.0,0.0,0.5340378424500221,5.473859442075977,6.873065950732049,7.366938524743743,10.700051836495357,15,0.6206896551724138,0.9993738720489116,213,27180
16,99773,110,13,70,34,3214,0,198,30,108,0,3212,1,1,30,0.24955523725132508,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.9996887643946467,227,3214
17,99760,98,24,84,34,28380,15,1666,30,946,15,28347,10,8,30,0.2443339215810658,True,4.855858758253394,3.0159838090897426,0.0,0.969137349098569,1.8489477378780435,5.950518140453925,7.197136149881496,7.639240217414938,10.910786860765574,17,0.6,0.9997178628107918,240,28380
18,99748,93,27,101,31,29280,16,1666,30,976,16,29247,8,9,30,0.25458386062503263,True,4.779278851069373,2.9385161485788025,0.0,0.9943547983748127,1.6063656058091482,6.301538121389681,7.167897459324426,7.432105481764607,10.304086609990467,18,0.6666666666666666,0.9996923707957343,252,29280
19,99737,96,28,101,38,29550,14,1645,30,985,14,29516,8,12,30,0.2603628647040523,True,4.67195710966854,3.033978805108973,0.0,0.4096198216316195,1.9836622032881133,5.250478365170223,6.700547092640612,7.04417589021772,10.968670399708994,19,0.6363636363636364,0.9995936060688161,263,29550
20,99725,96,33,111,35,2719,4,241,30,91,4,2713,1,1,30,0.2531734612147614,True,5.065196106292655,2.562810019181348,0.0,3.3616175673208364,5.602695945534728,6.372022205211311,6.670084709585806,6.674521894204057,6.681177671131431,20,0.8,0.9996315401621223,275,2719
21,99713,89,40,124,34,26580,15,1666,30,886,15,26554,4,7,30,0.2324314633047946,True,4.236976248484391,3.2487669164288087,0.0,0.0,0.4626890430853483,5.385973375663596,7.135991603885324,7.842268503601612,10.285569568596294,21,0.7894736842105263,0.999736455705734,287,26580
22,99702,82,49,135,32,31980,11,1666,30,1066,11,31955,5,9,30,0.22360256978264073,True,4.543710029605275,3.0617210890705913,0.0,0.019961449743843913,1.3614188574766182,5.537264411097122,7.304930132921727,7.788394674328601,8.694490573283502,22,0.6875,0.9997184332373921,298,31980
23,99692,82,57,136,33,28170,17,1659,30,939,17,28139,6,8,30,0.22494047691258837,True,5.240445113358667,2.632768164795882,0.0,1.9499294342997575,4.0593378757098995,5.837108965932469,7.3134559241381485,7.474546707176588,8.963724680919642,23,0.7391304347826086,0.9997157778804135,308,28170
24,99682,81,66,139,32,3161,2,196,30,106,2,3158,1,0,30,0.2439607688568606,True,6.487695263388552,0.08645082912323465,6.401244434265317,6.427179683002287,6.444469848826935,6.487695263388552,6.530920677950169,6.548210843774816,6.5741460925117865,24,0.6666666666666666,1.0,318,3161
25,99672,79,76,143,30,33240,11,1648,30,1108,11,33212,8,9,30,0.24583453654164455,True,4.6557954437193505,2.946397933997711,0.0,0.07010129530022093,0.8270143431207715,6.2056665898527354,6.846126447626823,7.283527414649024,8.046759913020264,25,0.5789473684210527,0.9997290870232685,328,33240
26,99662,73,86,150,29,30180,10,1666,30,1006,10,30164,2,4,30,0.23919093005072048,True,4.478579381716324,2.913966933297484,0.0,0.0,1.07569359310985,5.689876417401262,6.673500476707915,7.182883765428616,8.516886138104773,26,0.8333333333333334,0.999867409175285,338,30180
