,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,2.87390310132933,3.3706610702310975,0.0,0.0,0.0,0.20427740470978592,6.5385275279418344,6.977574218983212,9.499002822232812,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13030626911287582,True,3.9163605759862414,3.017942134384906,0.0,0.0,0.053817222921371526,5.098210675454456,6.562945012858675,7.229955212791216,8.870888734666563,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.15549159459142053,True,4.763613389135224,2.84333966566713,0.0,0.05856330818917808,2.178332230154246,5.916900656736157,6.910262962298861,7.483512791678365,8.728887355693342,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.1811023994132954,True,5.561216959422621,2.4504876263005553,0.0,2.383770022215134,4.529315519134586,6.259124188803785,7.123402415264249,7.917232871360971,9.079136337658085,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20292794918678106,True,5.549787121464266,2.396066776577949,0.0,3.866627633421709,4.941479756141145,6.098165427355956,7.150946850832815,7.548237663129768,9.381260225930294,4,,,78,0
5,99913,77,0,0,10,0,0,0,1,0,0,0,0,0,1,0.225274845955134,True,5.331479611100799,2.5299426527752,0.0,2.000079123080272,4.244533525441898,6.0161282107345055,7.165781776758713,7.541360660587278,9.599778858412778,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24739110134364542,True,5.41781550679129,2.402905033135616,0.0,3.1190838534808796,4.5258598711498585,5.978276941563246,7.086204149069111,7.460679286803246,10.175391750840525,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.26722506107397,True,4.918078092729571,2.6867814005026194,0.0,0.6637866367090153,3.322204747197639,5.433470202256149,6.78661129438539,7.460103069304214,9.706353206117328,7,,,106,0
8,99883,96,0,0,21,0,0,0,1,0,0,0,0,0,1,0.2863651269637219,True,4.302109846339912,2.579712640003858,0.0,0.6115644491043114,2.301627927561642,4.710008127090488,6.406833594722547,6.967815937047471,9.179157691818219,8,,,117,0
9,99871,106,0,0,23,1666,1,1666,1,0,1,1643,22,0,1,0.3038831696756718,True,4.522510963352173,2.3410863350066555,0.0,1.5129077076081119,3.33082453461257,4.665210653050661,6.215349180203683,6.803689258309593,8.973023384654304,9,0.043478260869565216,1.0,129,1666
10,99858,117,0,0,25,1666,0,1666,1,0,0,1657,9,0,1,0.31906506935545975,True,4.650517774050081,2.5378538298365463,0.0,1.5581842304125566,2.931544260282908,5.013501353148872,6.560644734038253,7.411865885078951,11.111946709962934,10,0.0,1.0,142,1666
11,99844,129,0,1,26,1666,0,1666,1,0,0,1651,15,0,1,0.33075218716162663,True,4.3530267164763154,2.6398768902568492,0.0,0.6258683708899995,2.381911127826044,4.908466342428589,6.325147278432153,7.3130865520169746,10.505673132292495,11,0.0,1.0,156,1666
12,99828,141,1,1,29,1666,2,1666,1,0,2,1644,20,0,1,0.33131948297761243,True,4.240148873200792,2.7523282191422505,0.0,0.33853890021044036,1.8928280509901194,4.557268634105629,6.69520552072651,7.290224079073289,9.899399554622056,12,0.09090909090909091,1.0,172,1666
13,99811,151,4,1,33,1666,1,1666,1,0,1,1652,13,0,1,0.32943401775944264,True,4.110736626037264,2.7619922243702524,0.0,0.09841435990237644,1.5793520905757585,4.287198917948767,6.51952495413469,7.379573833639888,9.752815576775669,13,0.07142857142857142,1.0,189,1666
14,99793,159,8,3,37,1666,4,1666,1,0,4,1639,23,0,1,0.33120536349650914,True,4.105809763928448,2.7754339259635366,0.0,0.39917226235808256,1.4153699671251423,4.28157550453138,6.483471030363338,7.37788287990394,9.097529263157185,14,0.14814814814814814,1.0,207,1666
15,99774,169,11,4,42,1666,3,1666,1,0,3,1655,6,2,1,0.33222358538181435,True,4.223464146626222,2.7233372080218663,0.0,0.48269785210858324,1.8487639928419948,4.354825442507512,6.666439691276755,7.193261053914455,9.776174288368912,15,0.3333333333333333,0.9987929993964997,226,1666
16,99754,178,17,8,43,1666,3,1666,1,0,3,1647,16,0,1,0.31386171995868123,True,4.316151090646653,2.7419652772462553,0.0,0.3918386194513584,2.2177575074069416,4.507385344711167,6.736764244108562,7.428785373662355,9.105264700562492,16,0.15789473684210525,1.0,246,1666
17,99733,182,28,11,46,1666,3,1666,1,0,3,1647,16,0,1,0.3161262005028193,True,4.2518518635587945,2.730537725219476,0.0,0.5020163966089375,1.9366362731462208,4.776168230447795,6.694181939037742,7.21797778387639,8.797475854297591,17,0.15789473684210525,1.0,267,1666
18,99711,197,32,14,46,1666,2,1666,1,0,2,1647,14,3,1,0.3161469454510688,True,4.048198346318812,2.797238123201307,0.0,0.2086094783613489,1.5813010479228955,4.343867766362411,6.406880407368847,7.4463660683701,9.449556280854472,18,0.125,0.9981818181818182,289,1666
19,99687,207,35,17,54,1666,3,1666,1,0,3,1645,17,1,1,0.3225231449782281,True,4.038816132322754,2.7258618807397736,0.0,0.3027686245996104,1.5125649305355453,4.385862038139841,6.623172250272444,7.1647757347032455,8.93068108853676,19,0.15,0.9993924665856622,313,1666
20,99662,222,39,19,58,1666,3,1666,1,0,3,1642,19,2,1,0.32028315832919035,True,4.088336520967627,2.7043597745557184,0.0,0.5303052399064855,1.504572750134674,4.274046230177885,6.655385362377926,7.16353362714286,8.684851724969983,20,0.13636363636363635,0.9987834549878345,338,1666
21,99635,235,45,21,64,1666,1,1666,1,0,1,1643,19,3,1,0.3210669575490143,True,4.092538032381299,2.7579425927420456,0.0,0.4340367085879699,1.595920985960278,4.20663770179261,6.4479168499866,7.278014003434605,10.290147924165806,21,0.05,0.9981773997569866,365,1666
22,99607,253,53,24,63,1666,1,1666,1,0,1,1645,19,1,1,0.310412799078957,True,4.141762406936937,2.6943132418378926,0.0,0.4061492467627363,1.8764895840736806,4.502442709697804,6.433493663575594,7.1506917976037485,9.85958292048039,22,0.05,0.9993924665856622,393,1666
23,99577,264,68,24,67,1666,5,1666,1,0,5,1645,14,2,1,0.3106546993727529,True,4.286086575832882,2.8234862816654434,0.0,0.5831045629756919,1.6289445773276774,4.472519350460339,6.777598621236061,7.236898857062579,10.140612368874155,23,0.2631578947368421,0.9987856709168185,423,1666
24,99545,283,79,23,70,1666,3,1666,1,0,3,1637,26,0,1,0.30724017983400326,True,4.161132151320293,2.8187756943624023,0.0,0.30157569145189894,1.4273361914242089,4.474719340412485,6.55547152820831,7.2013725209776345,9.423576556381185,24,0.10344827586206896,1.0,455,1666
25,99511,297,92,27,73,1666,1,1666,1,0,1,1651,11,3,1,0.31536030508920493,True,4.253961854723339,2.7901601789420174,0.0,0.5680954507708635,1.7285861517912597,4.566198460182732,6.584868389632781,7.390032513942138,10.203036222869837,25,0.08333333333333333,0.998186215235792,489,1666
26,99475,321,96,30,78,1666,3,1666,1,0,3,1644,16,3,1,0.31006469293599126,True,4.303926695848018,2.7567896998360673,0.0,0.29718088195966286,1.8376483229986595,4.591910407014895,6.48368087244918,7.353039862448879,9.689438060094371,26,0.15789473684210525,0.9981785063752276,525,1666
27,99436,342,108,29,85,1666,6,1666,1,0,6,1648,10,2,1,0.30190061756184583,True,4.377921924978089,2.815997620784827,0.0,0.4834384656797527,1.6967116266175888,4.982523045996281,6.81031933048106,7.365953471112681,9.702843082142497,27,0.375,0.9987878787878788,564,1666
28,99395,356,121,31,97,1666,5,1666,1,0,5,1646,14,1,1,0.301911362549052,True,4.524428414832876,2.7216534822363645,0.0,0.7326497035175733,2.5629204913938377,4.985662921656179,6.837021168782384,7.28163501404744,10.368817136457055,28,0.2631578947368421,0.9993928354584092,605,1666
29,99352,377,137,36,98,1666,4,1666,1,0,4,1642,16,4,1,0.2996675328946636,True,4.3705630714586015,2.752383866321235,0.0,0.5777421392629823,2.216304121470224,4.606467981425779,6.740715716175439,7.29741128383804,9.717726304476633,29,0.2,0.9975698663426489,648,1666
30,99307,400,150,39,104,1666,10,1666,1,0,10,1643,12,1,1,0.3056294563768787,True,4.355131493162314,2.646428243302542,0.0,0.9241627845842615,1.9467230722765576,4.630685013418445,6.545723872170601,7.246063054976821,10.06594792246665,30,0.45454545454545453,0.9993917274939172,693,1666
31,99259,434,161,42,104,1666,3,1666,1,0,3,1637,22,4,1,0.30631157344559246,True,4.368108381135313,2.631921346387045,0.0,0.8672665872858807,2.2330393968249584,4.80270539907898,6.550050828377952,7.1311363191708335,9.583809793166179,31,0.12,0.9975624619134674,741,1666
32,99207,464,175,52,102,1666,7,1666,1,0,7,1647,12,0,1,0.30794082988517,True,4.313903400465812,2.640203227762636,0.0,0.6542308654154118,1.9205999279316495,4.876552872740047,6.505558761375478,7.137149118458736,9.053196235518659,32,0.3684210526315789,1.0,793,1666
33,99151,498,194,49,108,1666,3,1666,1,0,3,1636,23,4,1,0.3050610000274388,True,4.425849726810654,2.65088039385356,0.0,0.788741915264779,2.1650047576065896,4.972135875611821,6.550294726772516,7.205208181646934,9.812570685488243,33,0.11538461538461539,0.9975609756097561,849,1666
34,99091,528,211,55,115,1666,6,1666,1,0,6,1643,14,3,1,0.3024909330681491,True,4.309342309224149,2.6755595952411464,0.0,0.4855607135567237,2.1285091898486566,4.799485408274875,6.447124543778758,7.149670141660358,11.175390669816771,34,0.3,0.9981773997569866,909,1666
35,99028,563,228,56,125,1666,8,1666,1,0,8,1641,14,3,1,0.3058365425427647,True,4.296213786609442,2.6374857830408063,0.0,0.7778128954633476,2.1153429634803436,4.586710526886595,6.438306739097866,7.033816123991905,9.96878895022026,35,0.36363636363636365,0.9981751824817519,972,1666
36,98961,608,242,60,129,1666,10,1666,1,0,10,1638,14,4,1,0.30801948255178946,True,4.086591366742801,2.6845172784946354,0.0,0.4379360055821252,1.611073645298974,4.5182951743499,6.257853423145508,7.007786730721951,11.161661236876789,36,0.4166666666666667,0.997563946406821,1039,1666
37,98888,651,261,63,137,1666,6,1666,1,0,6,1643,13,4,1,0.3087318643984724,True,4.2276892570490805,2.683111550855822,0.0,0.6221000366725755,2.1036195489566394,4.377872906428467,6.490580264266385,7.172951376064839,10.377691654980516,37,0.3157894736842105,0.9975713418336369,1112,1666
38,98810,687,287,68,148,1666,11,1666,1,0,11,1622,25,8,1,0.31380070554606826,True,4.400479570991924,2.6925088378634476,0.0,0.8006883140995107,2.143907564657993,4.52541556210315,6.556434648563031,7.245569687140492,12.25091132648146,38,0.3055555555555556,0.9950920245398773,1190,1666
39,98728,736,306,70,160,1666,8,1666,1,0,8,1633,24,1,1,0.3173471001898098,True,4.411795535789262,2.712666209918259,0.0,0.9714957608036775,2.369158678518767,4.6692537156537925,6.658057724684017,7.423609860609133,11.592431555983115,39,0.25,0.9993880048959608,1272,1666
40,98640,783,328,78,171,1666,8,1666,1,0,8,1640,12,6,1,0.3208235991407874,True,4.1424696013466695,2.713494324027644,0.0,0.6210659767814242,1.8565678557020946,4.289272003497514,6.418199642933862,7.086509781443345,10.933951785484767,40,0.4,0.9963547995139733,1360,1666
41,98547,832,348,81,192,1666,6,1666,1,0,6,1644,13,3,1,0.322336996380856,True,4.142854457090177,2.7782431471298503,0.0,0.34391664592458543,1.6845649375830152,4.193384276452873,6.5105807100208954,6.980399040811212,10.664757899850859,41,0.3157894736842105,0.9981785063752276,1453,1666
42,98448,896,375,82,199,1666,11,1666,1,0,11,1631,18,6,1,0.31761500335017073,True,4.166693544389705,2.79375327203167,0.0,0.5299248645550381,1.6755565997219435,4.369372998880408,6.387774654120917,7.3003330032026295,9.830276452543085,42,0.3793103448275862,0.996334758704948,1552,1666
43,98341,956,410,83,210,1666,7,1666,1,0,7,1643,10,6,1,0.317353389976606,True,4.1613084322657965,2.8788333759515243,0.0,0.29423863837171627,1.4672933211869796,4.5423486702375735,6.572309730780549,7.512364145717446,10.025093243850312,43,0.4117647058823529,0.9963614311704063,1659,1666
44,98227,1023,443,90,217,1666,15,1666,1,0,15,1621,18,12,1,0.31420692133814765,True,4.182493668582658,2.852200650891704,0.0,0.0,1.3773132483146155,4.5799586705550075,6.688980862988341,7.373068491996067,10.334093500123712,44,0.45454545454545453,0.992651561543172,1773,1666
45,98106,1089,481,94,230,1666,15,1666,1,0,15,1629,19,3,1,0.317050617081643,True,4.211093015915701,2.8153061400135626,0.0,0.3799644871849306,1.5709266396027197,4.405468527304526,6.657354310429979,7.3134661974398,12.269583309843945,45,0.4411764705882353,0.9981617647058824,1894,1666
46,97977,1151,515,106,251,1666,11,1666,1,0,11,1632,18,5,1,0.3161646475570951,True,4.256101824036866,2.793442278027758,0.0,0.31370088198973894,1.6019262655654538,4.702307865332351,6.665661318211653,7.280181136698915,11.47777960682239,46,0.3793103448275862,0.9969456322541234,2023,1666
47,97841,1217,555,119,268,1666,14,1666,1,0,14,1622,20,10,1,0.3162547919139043,True,4.242733384612057,2.796905466125658,0.0,0.20069757571134372,1.7494711131981933,4.534648090456098,6.565399573404906,7.158433924796039,10.20268820286548,47,0.4117647058823529,0.9938725490196079,2159,1666
48,97697,1303,592,123,285,1666,17,1666,1,0,17,1616,21,12,1,0.3113749144344253,True,4.305513571179576,2.772909849130861,0.0,0.4459830720066288,1.653184266627064,4.718166981783112,6.587681489931075,7.221476591745104,9.880079985301316,48,0.4473684210526316,0.9926289926289926,2303,1666
49,97543,1387,641,134,295,1666,18,1666,1,0,18,1622,15,11,1,0.30784461265488794,True,4.287285627477411,2.73621224603493,0.0,0.36103715022826344,1.9293702505543648,4.676888730532604,6.541342488035771,7.207326738966072,9.467506792434994,49,0.5454545454545454,0.9932639314145744,2457,1666
50,97379,1483,688,142,308,1666,25,1666,1,0,25,1612,19,10,1,0.31076614127436225,True,4.263340394109246,2.6934396545936625,0.0,0.651830701040149,1.7606045799762744,4.672534083862663,6.472044390948167,7.133816260011063,9.61327597455838,50,0.5681818181818182,0.9938347718865598,2621,1666
51,97204,1581,727,156,332,1666,23,1666,1,0,23,1619,16,8,1,0.3101113931408552,True,4.219470601037663,2.796635089692611,0.0,0.2747666973285857,1.6976813566921158,4.705723440181708,6.487749231082228,7.213706016126302,11.090288301160449,51,0.5897435897435898,0.9950829748002459,2796,1666
52,97018,1678,787,172,345,1666,13,1666,1,0,13,1627,18,8,1,0.312331350365948,True,4.126304654935239,2.8070252337176087,0.0,0.048255260738943026,1.4284286651935045,4.737469980317954,6.456991831324767,7.201034191237157,10.525054990889537,52,0.41935483870967744,0.9951070336391438,2982,1666
53,96821,1799,838,188,354,1666,24,1666,1,0,24,1615,14,13,1,0.31283411250983006,True,4.323209062646079,2.761186059445101,0.0,0.4906643014876733,1.8487298913817942,4.718505153776556,6.5202929406369075,7.34687880808392,10.307391690574137,53,0.631578947368421,0.992014742014742,3179,1666
54,96610,1921,901,190,378,1666,15,1666,1,0,15,1628,17,6,1,0.31049390142581706,True,4.320523645184224,2.7825193279446565,0.0,0.2507113821171945,1.9165819758420914,4.601975703488974,6.460776939557432,7.271734680193539,10.871069980596733,54,0.46875,0.996328029375765,3390,1666
55,96386,2037,981,201,395,1666,31,1666,1,0,31,1601,19,15,1,0.3133047364431865,True,4.396691051580069,2.795390684705917,0.0,0.5318053387927633,1.8101221222356627,4.71639524040088,6.710505698209973,7.3979252201902606,10.459916244161029,55,0.62,0.9907178217821783,3614,1666
56,96149,2184,1037,210,420,1666,22,1666,1,0,22,1611,20,13,1,0.31289659757931715,True,4.266341557494121,2.665203528571135,0.0,0.657094542346611,2.0609004257754044,4.5075165444260215,6.486255045040503,7.295927247948768,9.079464136090364,56,0.5238095238095238,0.9919950738916257,3851,1666
57,95895,2312,1109,231,453,1666,28,1666,1,0,28,1611,11,16,1,0.31327335778557264,True,4.279532724117863,2.734355097138727,0.0,0.5904643536002135,1.9741580543157269,4.431800824121822,6.522300803433058,7.2380717170866316,13.410843886977219,57,0.717948717948718,0.9901659496004918,4105,1666
58,95627,2460,1190,240,483,1666,27,1666,1,0,27,1607,18,14,1,0.3167178071483678,True,4.041245837903751,2.6620040674974565,0.0,0.42557459185775065,1.698684676819133,4.096205730659407,6.148237943323153,7.299240626316794,9.3728761977332,58,0.6,0.9913633559531153,4373,1666
59,95343,2620,1256,259,522,1666,22,1666,1,0,22,1618,11,15,1,0.3160769177479081,True,3.9382606595365655,2.857141272501535,0.0,0.0,1.088074340906478,3.7827751704780512,6.617029026875753,7.12407726049186,9.701121501058282,59,0.6666666666666666,0.9908144519289651,4657,1666
60,95041,2792,1345,279,543,1666,27,1666,1,0,27,1609,14,16,1,0.31963672333166276,True,3.8581105961412048,2.8795640088578867,0.0,0.0,0.9504306793753472,3.542633705663001,6.497015280834521,6.988845969572558,9.02815576410116,60,0.6585365853658537,0.9901538461538462,4959,1666
61,94720,2996,1425,287,572,1666,29,1666,1,0,29,1609,11,17,1,0.32098789763740815,True,4.159884951755998,2.794873791425602,0.0,0.645021253123444,2.1767119445700764,3.526158434952242,6.471776310973555,7.439690645874939,9.379797827312581,61,0.725,0.9895448954489545,5280,1666
62,94377,3199,1524,297,603,1452,40,1452,1,0,40,1379,15,18,1,0.32212369022955056,True,4.273608782662113,2.554597082693733,0.0,1.0732673641843202,2.3030664468915307,4.509895120493876,6.352461037312711,7.273933339817807,8.586363537098888,62,0.7272727272727273,0.9871152469577666,5623,1452
